STREAM_ID,sourceID,source,site name,latitude_wgs84,longitude_wgs84,drainagearea_sqkm,state_name,time_zone,WQ_parameters
STREAM-gauge-2951,05578330,USGS,"SALT CREEK AT BRUSH COLLEGE RD NR CLINTON, IL",40.121219,-88.897692,,Illinois,Central,WTemp_C
STREAM-gauge-2952,05578360,USGS,"SALT CREEK AT WELDON SPRINGS RD NR CLINTON, IL",40.109889,-88.923731,,Illinois,Central,WTemp_C
STREAM-gauge-2953,05578500,USGS,"SALT CREEK NEAR ROWELL, IL",40.115169,-89.049175,867.64665,Illinois,Central,WTemp_C
STREAM-gauge-2954,05579610,USGS,"KICKAPOO CREEK AT 2100E ROAD NEAR BLOOMINGTON, IL",40.467778,-88.863889,18.906927,Illinois,Central,"SpC_uScm,NO3_mgNL"
STREAM-gauge-2955,05579620,USGS,"KICKAPOO CREEK TRIBUTARY NEAR BLOOMINGTON, IL",40.47277800000001,-88.879722,9.841962,Illinois,Central,"SpC_uScm,NO3_mgNL"
STREAM-gauge-2956,05579624,USGS,"KICKAPOO CR TRIB NR LONGFIELD RD NR BLOOMINGTON,IL",40.462861,-88.877167,12.250652699999998,Illinois,Central,"WTemp_C,SpC_uScm,NO3_mgNL"
STREAM-gauge-2957,05579630,USGS,"KICKAPOO CREEK NEAR BLOOMINGTON, IL",40.458333,-88.8775,38.33185200000001,Illinois,Central,"DO_mgL,NO3_mgNL"
STREAM-gauge-2958,05582000,USGS,"SALT CREEK NEAR GREENVIEW, IL",40.131856,-89.735714,4672.34196,Illinois,Central,WTemp_C
STREAM-gauge-2959,05583000,USGS,"SANGAMON RIVER NEAR OAKFORD, IL",40.123361,-89.983972,13190.81907,Illinois,Central,WTemp_C
STREAM-gauge-2960,05586300,USGS,"ILLINOIS RIVER AT FLORENCE, IL",39.63275,-90.607667,69593.0313,Illinois,Central,"WTemp_C,DO_mgL,Turb_FNU,NO3_mgNL,fDOM_QSU,PO4_mgL,Chla_ugL"
STREAM-gauge-2961,05587498,USGS,"Mississippi River Pool Lock and Dam 26 at Alton,IL",38.887306,-90.184,,Illinois,Central,"WTemp_C,SpC_uScm,DO_mgL,pH,Turb_FNU,NO3_mgNL"
STREAM-gauge-2962,05595000,USGS,"KASKASKIA RIVER AT NEW ATHENS, IL",38.319722,-89.888333,13439.45811,Illinois,Central,"SpC_uScm,DO_mgL,Turb_FNU,NO3_mgNL,PO4_mgL"
STREAM-gauge-2963,05599490,USGS,"BIG MUDDY RIVER AT RTE 127 AT MURPHYSBORO, IL",37.758333,-89.327778,5591.78841,Illinois,Central,"WTemp_C,SpC_uScm,DO_mgL,pH,Turb_FNU,NO3_mgNL,PO4_mgL"
STREAM-gauge-2973,06006000,USGS,"Red Rock Cr ab Lakes, nr Lakeview, MT",44.615792,-111.625669,96.606627,Montana,Mountain,WTemp_C
STREAM-gauge-2974,06023000,USGS,Ruby River near Twin Bridges MT,45.506914,-112.330889,2512.2903,Montana,Mountain,WTemp_C
STREAM-gauge-2975,06023100,USGS,"Beaverhead River at Twin Bridges, MT",45.546889,-112.338111,12359.43228,Montana,Mountain,WTemp_C
STREAM-gauge-2976,06024450,USGS,Big Hole River bl Big Lake Cr at Wisdom MT,45.617967,-113.456942,1517.73414,Montana,Mountain,WTemp_C
STREAM-gauge-2977,06024540,USGS,Big Hole River bl Mudd Cr nr Wisdom MT,45.807542,-113.313269,3302.23725,Montana,Mountain,WTemp_C
STREAM-gauge-2978,06024580,USGS,Big Hole River near Wise River MT,45.850822,-113.068361,4154.34396,Montana,Mountain,WTemp_C
STREAM-gauge-2979,06025250,USGS,Big Hole River at Maiden Rock nr Divide MT,45.701269,-112.735969,5695.3880100000015,Montana,Mountain,WTemp_C
STREAM-gauge-2980,06025500,USGS,Big Hole River near Melrose MT,45.526581,-112.701725,6402.45528,Montana,Mountain,WTemp_C
STREAM-gauge-2981,06026210,USGS,Big Hole River near Glen MT,45.440094,-112.556092,6910.09332,Montana,Mountain,WTemp_C
STREAM-gauge-2982,06026420,USGS,"Big Hole R bl Hamilton Ditch nr Twin Bridges, MT",45.550022,-112.360675,7227.885093000001,Montana,Mountain,WTemp_C
STREAM-gauge-2983,06026500,USGS,Jefferson River near Twin Bridges MT,45.613283,-112.329397,19725.36384,Montana,Mountain,WTemp_C
STREAM-gauge-2984,06027600,USGS,"Jefferson River at Parsons Bdg nr Silver Star, MT",45.747503,-112.187228,20095.73241,Montana,Mountain,WTemp_C
STREAM-gauge-2985,06035000,USGS,Willow Creek near Harrison MT,45.723058,-111.741025,222.480141,Montana,Mountain,WTemp_C
STREAM-gauge-2986,06036650,USGS,Jefferson River near Three Forks MT,45.897136,-111.595672,24755.12442,Montana,Mountain,WTemp_C
STREAM-gauge-2537,06036805,USGS,"Firehole River at Old Faithful, YNP",44.459333,-110.822272,102.304605,Wyoming,Mountain,WTemp_C
STREAM-gauge-2538,06036905,USGS,Firehole River near West Yellowstone MT,44.620183,-110.863503,675.98739,Wyoming,Mountain,"WTemp_C,SpC_uScm"
STREAM-gauge-2539,06036940,USGS,"Tantalus Creek at Norris Junction, YNP",44.732725,-110.713253,2.848989,Wyoming,Mountain,WTemp_C
STREAM-gauge-2540,06037100,USGS,"Gibbon River at Madison Jct, YNP",44.6408,-110.861064,323.74875,Wyoming,Mountain,"WTemp_C,SpC_uScm"
STREAM-gauge-2987,06037500,USGS,"Madison River near West Yellowstone, MT",44.657072,-111.067964,1134.41562,Montana,Mountain,"WTemp_C,SpC_uScm"
STREAM-gauge-2988,06038500,USGS,Madison River bl Hebgen Lake nr Grayling MT,44.866392,-111.338781,2411.28069,Montana,Mountain,WTemp_C
STREAM-gauge-2989,06038800,USGS,Madison River at Kirby Ranch nr Cameron MT,44.888656,-111.580886,2830.85907,Montana,Mountain,WTemp_C
STREAM-gauge-2990,06040000,USGS,Madison River near Cameron MT,45.233133,-111.751633,4475.50272,Montana,Mountain,WTemp_C
STREAM-gauge-2991,06040050,USGS,"Madison River at Ennis, MT",45.347564,-111.722464,4459.96278,Montana,Mountain,"WTemp_C,DO_mgL"
STREAM-gauge-2992,06041000,USGS,Madison River bl Ennis Lake nr McAllister MT,45.490231,-111.634506,5731.388871,Montana,Mountain,WTemp_C
STREAM-gauge-2993,06043120,USGS,"Gallatin River above Deer Creek, near Big Sky, MT",45.29727800000001,-111.211392,1392.378624,Montana,Mountain,WTemp_C
STREAM-gauge-2994,06052500,USGS,Gallatin River at Logan MT,45.886247,-111.442008,4633.49211,Montana,Mountain,WTemp_C
STREAM-gauge-2995,06054500,USGS,Missouri River at Toston MT,46.146572,-111.420278,37920.04359,Montana,Mountain,WTemp_C
STREAM-gauge-2996,06066500,USGS,Missouri River bl Holter Dam nr Wolf Cr MT,46.994739,-112.010667,43832.99076,Montana,Mountain,WTemp_C
STREAM-gauge-2997,06073500,USGS,Dearborn River near Craig MT,47.199025,-112.095906,833.97678,Montana,Mountain,WTemp_C
STREAM-gauge-2998,06076590,USGS,Camas C nr Mouth nr White Sulphur Springs MT,46.678486,-111.193919,153.32740800000005,Montana,Mountain,"WTemp_C,SpC_uScm,DO_mgL,pH,Turb_FNU"
STREAM-gauge-2999,06076600,USGS,"Camas Cr at mouth, nr White Sulphur Springs, MT",46.703361,-111.192225,159.80238300000005,Montana,Mountain,"WTemp_C,Turb_FNU"
STREAM-gauge-3000,06077200,USGS,Smith River bl Eagle Cr nr Fort Logan MT,46.827981,-111.192239,2815.31913,Montana,Mountain,WTemp_C
STREAM-gauge-3001,06077500,USGS,Smith River near Eden MT,47.189292,-111.386239,4112.90412,Montana,Mountain,WTemp_C
STREAM-gauge-3002,06085800,USGS,Sun River at Simms MT,47.501628,-111.931914,3356.62704,Montana,Mountain,WTemp_C
STREAM-gauge-3003,06101630,USGS,"Marias River at Highway 223 bridge near Chester,MT",48.26,-110.891667,15402.67053,Montana,Mountain,WTemp_C
STREAM-gauge-3004,06102050,USGS,Marias River near Loma MT,47.945903,-110.580839,18199.85973,Montana,Mountain,WTemp_C
STREAM-gauge-3005,06115200,USGS,Missouri River near Landusky MT,47.631431,-108.687744,105280.5035,Montana,Mountain,WTemp_C
STREAM-gauge-3006,06174500,USGS,Milk River at Nashua MT,48.130053,-106.364314,58150.45548,Montana,Mountain,"WTemp_C,SpC_uScm,DO_mgL,pH,Turb_FNU,fDOM_QSU,PC_RFU"
STREAM-gauge-3007,06175510,USGS,Missouri R at E Frazer Pump Plant nr Frazer MT,48.033351,-106.000572,,Montana,Mountain,"WTemp_C,DO_mgL,Turb_FNU"
STREAM-gauge-3008,06177000,USGS,Missouri River near Wolf Point MT,48.067325,-105.533097,208882.6935,Montana,Mountain,"WTemp_C,SpC_uScm,DO_mgL,pH,Turb_FNU,fDOM_QSU,PC_RFU"
STREAM-gauge-2541,06187915,USGS,Soda Butte Cr at Park Bndry at Silver Gate,45.002831,-110.001872,80.030691,Wyoming,Mountain,Turb_FNU
STREAM-gauge-2542,06188000,USGS,Lamar River nr Tower Ranger Station YNP,44.928178,-110.394269,1730.11332,Wyoming,Mountain,WTemp_C
STREAM-gauge-2543,06190540,USGS,"Boiling River at Mammoth,YNP",44.98513300000001,-110.689344,,Wyoming,Mountain,WTemp_C
STREAM-gauge-3009,06191500,USGS,Yellowstone River at Corwin Springs MT,45.112119,-110.793667,6772.82385,Montana,Mountain,"WTemp_C,SpC_uScm"
STREAM-gauge-3010,06192500,USGS,"Yellowstone River near Livingston, MT",45.597211,-110.566497,9197.05449,Montana,Mountain,WTemp_C
STREAM-gauge-3011,06192900,USGS,"Dugout Creek at mouth, nr Wilsall, MT",46.184806,-110.379639,,Montana,Mountain,WTemp_C
STREAM-gauge-3012,06192978,USGS,"Shields River bl SF Shields River nr Wilsall, MT",46.167125,-110.491947,129.758499,Montana,Mountain,"WTemp_C,SpC_uScm,DO_mgL,pH,Turb_FNU"
STREAM-gauge-3013,06192980,USGS,"Shields River ab Smith Cr, nr Wilsall, MT",46.167161,-110.554286,139.60046100000002,Montana,Mountain,"WTemp_C,SpC_uScm,DO_mgL,pH"
STREAM-gauge-3014,06195750,USGS,"Yellowstone River at Springdale, MT",45.746323,-110.232417,,Montana,Mountain,WTemp_C
STREAM-gauge-3015,06195950,USGS,"Yellowstone River at Big Timber, MT",45.847162,-109.940742,,Montana,Mountain,WTemp_C
STREAM-gauge-3016,06204070,USGS,W Rosebud Cr at Emerald Lk Campground nr Roscoe,45.254387,-109.699894,171.975336,Montana,Mountain,WTemp_C
STREAM-gauge-3017,06205000,USGS,"Stillwater River near Absarokee, MT",45.536742,-109.422056,2424.23064,Montana,Mountain,WTemp_C
STREAM-gauge-3018,06214500,USGS,Yellowstone River at Billings MT,45.800119,-108.468031,30580.01193,Montana,Mountain,WTemp_C
STREAM-gauge-2544,06227600,USGS,"WIND RIVER NEAR KINNEAR, WY",43.142778,-108.708889,5687.61804,Wyoming,Mountain,WTemp_C
STREAM-gauge-2545,06236100,USGS,"WIND RIVER AB BOYSEN RESERVOIR, NR SHOSHONI, WY",43.128972,-108.224833,11512.50555,Wyoming,Mountain,WTemp_C
STREAM-gauge-2546,06253000,USGS,"FIVEMILE CREEK NEAR SHOSHONI, WY",43.221917,-108.219694,1082.61582,Wyoming,Mountain,WTemp_C
STREAM-gauge-2547,06258000,USGS,"MUDDY CREEK NEAR SHOSHONI, WY",43.286037,-108.275708,870.2366400000002,Wyoming,Mountain,WTemp_C
STREAM-gauge-2548,06283995,USGS,"Shoshone River ab Willwood Dam, nr Ralston, WY",44.661217,-108.927528,4781.12154,Wyoming,Mountain,Turb_FNU
