DateTime,Chla_ugL,Flag_Chla_ugL,PC_RFU,Flag_PC_RFU
2020-08-23 06:00,0.515,A,,
2020-08-23 07:00,0.4925,A,,
2020-08-23 08:00,0.47,A,,
2020-08-23 09:00,0.2,A,,
2020-08-23 10:00,0.4675,A,,
2020-08-23 11:00,0.52,A,,
2020-08-23 12:00,0.3499999999999999,A,0.1,A
2020-08-23 13:00,0.495,A,,
2020-08-23 14:00,0.25,A,,
2020-08-23 15:00,0.25,A,0.1,A
2020-08-23 16:00,0.325,A,,
2020-08-23 17:00,0.4225,A,,
2020-08-23 18:00,0.45,A,,
2020-08-23 19:00,0.3833333333333333,A,0.0,A
2020-08-23 20:00,0.4975,A,,
2020-08-23 21:00,0.25,A,,
2020-08-23 22:00,0.425,A,,
2020-08-23 23:00,0.35,A,,
2020-08-24 00:00,0.275,A,,
2020-08-24 01:00,0.3499999999999999,A,-0.1,A
2020-08-24 02:00,0.3974999999999999,A,,
2020-08-24 03:00,0.375,A,,
2020-08-24 04:00,0.35,A,,
2020-08-24 05:00,0.275,A,,
2020-08-24 06:00,0.5,A,,
2020-08-24 07:00,0.25,A,0.1,A
2020-08-24 08:00,0.3,A,,
2020-08-24 09:00,0.3025,A,,
2020-08-24 10:00,,,0.025,A
2020-08-24 11:00,0.275,A,,
2020-08-24 12:00,0.425,A,,
2020-08-24 13:00,0.1866666666666666,A,-0.1,A
2020-08-24 14:00,0.205,A,,
2020-08-24 15:00,0.23,A,,
2020-08-24 16:00,0.3525,A,,
2020-08-24 17:00,0.33,A,,
2020-08-24 18:00,0.3025,A,,
2020-08-24 19:00,0.16,A,,
2020-08-24 20:00,0.2324999999999999,A,,
2020-08-24 21:00,0.3075,A,,
2020-08-24 22:00,0.355,A,,
2020-08-24 23:00,0.4049999999999999,A,,
2020-08-25 00:00,0.38,A,,
2020-08-25 01:00,0.185,A,,
2020-08-25 02:00,0.21,A,,
2020-08-25 03:00,0.5549999999999999,A,,
2020-08-25 04:00,0.285,A,,
2020-08-25 05:00,0.185,A,,
2020-08-25 06:00,0.2575,A,,
2020-08-25 07:00,0.335,A,,
2020-08-25 08:00,0.235,A,,
2020-08-25 09:00,0.4325,A,,
2020-08-25 10:00,0.39,A,0.0,A
2020-08-25 11:00,0.26,A,,
2020-08-25 12:00,0.4075,A,,
2020-08-25 13:00,0.31,A,,
2020-08-25 14:00,0.3075,A,,
2020-08-25 15:00,0.4575,A,,
2020-08-25 16:00,0.36,A,,
2020-08-25 17:00,0.385,A,,
2020-08-25 18:00,0.235,A,,
2020-08-25 19:00,0.5325,A,,
2020-08-25 20:00,0.31,A,,
2020-08-25 21:00,0.485,A,,
2020-08-25 22:00,0.21,A,,
2020-08-25 23:00,0.2375,A,,
2020-08-26 00:00,0.385,A,,
2020-08-26 01:00,0.2375,A,,
2020-08-26 02:00,0.2875,A,,
2020-08-26 03:00,0.1875,A,,
2020-08-26 04:00,0.1925,A,,
2020-08-26 05:00,0.3125,A,,
2020-08-26 06:00,0.2625,A,,
2020-08-26 07:00,0.265,A,,
2020-08-26 08:00,0.2675,A,,
2020-08-26 09:00,0.2925,A,,
2020-08-26 10:00,0.245,A,,
2020-08-26 11:00,0.1333333333333333,A,0.0,A
2020-08-26 12:00,0.365,A,,
2020-08-26 13:00,0.295,A,,
2020-08-26 14:00,0.4375,A,,
2020-08-26 15:00,0.61,A,,
2020-08-26 16:00,0.56,A,0.0,A
2020-08-26 17:00,0.37,A,,
2020-08-26 18:00,0.3175,A,,
2020-08-26 19:00,0.4675,A,,
2020-08-26 20:00,0.3425,A,,
2020-08-26 21:00,0.27,A,,
2020-08-26 22:00,0.37,A,,
2020-08-26 23:00,0.59,A,,
2020-08-27 00:00,0.4175,A,,
2020-08-27 01:00,0.42,A,,
2020-08-27 02:00,0.22,A,,
2020-08-27 03:00,0.1699999999999999,A,,
2020-08-27 04:00,0.3675,A,,
2020-08-27 05:00,0.5175000000000001,A,,
2020-08-27 06:00,0.545,A,,
2020-08-27 07:00,0.5425,A,,
2020-08-27 08:00,0.5675,A,,
2020-08-27 09:00,0.27,A,,
2020-08-27 10:00,0.295,A,,
2020-08-27 11:00,0.345,A,,
2020-08-27 12:00,0.345,A,,
2020-08-27 13:00,0.42,A,,
2020-08-27 14:00,0.6925,A,,
2020-08-27 15:00,0.47,A,,
2020-08-27 16:00,0.395,A,,
2020-08-27 17:00,0.445,A,,
2020-08-27 18:00,0.5225,A,,
2020-08-27 19:00,0.4975,A,,
2020-08-27 20:00,0.6924999999999999,A,,
2020-08-27 21:00,0.5225000000000001,A,,
2020-08-27 22:00,0.5225,A,,
